4.400	The problem likely will mean corrective changes before the shuttle fleet starts flying again.	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.
3.800	Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.	Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.
2.600	The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.	The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30.
3.600	The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.	The broader market also retreated, having climbed higher for four consecutive weeks.
3.000	Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.	His first Father's Day as a dad, his first major as a champion.
2.400	They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.	It said the patents were \"allegedly\" assigned to Syndia in 2001 through the Lemelson Medical, Educational and Research Foundation Limited Partnership.
1.200	The SIA says the DRAM market is expected to grow 2.9 percent to $15.7 billion in 2003 and 43 percent to $22.5 billion in 2004.	The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.
3.400	Morrill's wife, Ellie, sobbed and hugged Bondeson's sister-in-law during the service.	At the service Morrill's widow, Ellie, sobbed and hugged Bondeson's sister-in-law as people consoled her.
3.000	After 9/11, Connolly said, agents spent thousands of hours investigating al-Bayoumi.	Connolly said FBI agents in San Diego and abroad spent thousands of hours investigating al-Bayoumi.
4.500	Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.	The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2.
3.500	The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.	The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999.
1.500	A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.	A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department.
3.000	Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.	Grassley and Baucus said they had rejected that approach in their plan.
2.000	He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.	But the North Korean nuclear crisis has dominated his time in office.
3.400	In the year-ago quarter, the steelmaker recorded a profit of $16.2 million, or 15 cents per share, on sales of $1.14 billion.	In the second quarter last year, AK Steel reported a profit of $16.2 million, or 15 cents a share.
2.200	PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.	PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.
1.800	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.
4.000	\"This decision is clearly incorrect,\" FTC Chairman Timothy Muris said in a written statement.	The decision is \"clearly incorrect,\" FTC Chairman Tim Muris said.
3.500	A rebel who was captured said more than 2,000 insurgents were involved in the attack.	A captured rebel said 2,100 combatants had been involved in the offensive.
3.500	\"It was brazen intimidation to keep people on the reservation,\" said a Republican who attended but did not want to be named.	\"It was a brazen attempt at intimidation,\" said a Republican legislator who attended the meeting.
2.750	No charges were announced, but the statement said legal proceedings were expected Monday.	An FBI statement said legal proceedings were expected Monday in federal court in Baltimore.
2.600	The dead woman was also wearing a ring and a Cartier watch.	\"It's a blond-haired woman wearing a Cartier watch on her wrist,\" the source said.
2.200	The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.
4.600	Paul Themba Nyathi, an MDC spokesman, said the Avenues Clinic was being targeted because it was treating opposition supporters.	MDC spokesperson Paul Themba Nyathi said the Avenues Clinic was targeted because it was handling opposition supporters.
3.000	Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.	JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.
3.500	He claims it may seem unrealistic only because little effort has been devoted to the concept.	\"This proposal is modest compared with the space programme, and may seem unrealistic only because little effort has been devoted to it.
4.750	But the FBI never kept tabs on al-Bayoumi - even though it had received information that he was a Saudi agent, the document says.	But the bureau never kept tabs on al-Bayoumi—despite receiving prior information he was a secret Saudi agent, the report says.
1.500	\"It's going to happen,\" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.	\"That really affects the companies, big time,\" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.
4.750	Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.	Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.
3.750	He was released on $3-million bail and immediately returned to Las Vegas, where he had been filming a video.	After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.
3.500	Gartner analysts said that businesses are not yet feeling confident enough to upgrade corporate PCs.	What's more, companies are not feeling confident enough to replace older PCs, the analyst firm said.
3.400	Mr Eddington warned yesterday that the future of the airline was \"in the hands of the negotiators\".	\"The future of BA is in the hands of the negotiators,\" Eddington told British Broadcasting Corp. television on Sunday.
